dataset,model,hook,extractor,feature_id,auroc,auroc_p,q_value,n_samples
rf3_toxinpred3,rf3,block16,sae_encode,267,0.623672477255365,3.149260844653287e-23,2.503662371499363e-21,286
rf3_toxinpred3,rf3,block16,sae_encode,293,0.3764747551913327,1.7145477864479201e-15,4.194047662234143e-14,586
rf3_toxinpred3,rf3,block16,sae_encode,690,0.37799708313077296,1.0228032687681024e-16,2.9568312678932414e-15,472
rf3_toxinpred3,rf3,block16,sae_encode,526,0.6174678797138691,5.534517614168288e-13,1.035280353709127e-11,771
rf3_toxinpred3,rf3,block16,sae_encode,299,0.38343912771720257,8.101740849378314e-13,1.4313075500568356e-11,768
rf3_toxinpred3,rf3,block16,sae_encode,7,0.3875463573859296,1.5256633846896794e-12,2.3102902682443717e-11,661
rf3_toxinpred3,rf3,block16,sae_encode,528,0.6108035280227794,1.3276779849136222e-12,2.1110079960126595e-11,605
rf3_toxinpred3,rf3,block16,sae_encode,393,0.3897576220570873,8.309035764660945e-15,1.8873381236872718e-13,420
rf3_toxinpred3,rf3,block16,sae_encode,208,0.606014306549066,9.054267752217626e-13,1.515398497476424e-11,489
rfd3_safeprotein,rfd3,block12,identity,647,0.18920110192837467,2.5462211577061356e-18,1.955497849118312e-15,150
rfd3_safeprotein,rfd3,block12,identity,166,0.797961432506887,5.791280727407899e-17,2.2238517993246332e-14,188
rfd3_safeprotein,rfd3,block12,identity,254,0.20578512396694215,1.4068951232608932e-16,3.6016515155478865e-14,54
rfd3_safeprotein,rfd3,block12,identity,602,0.20826446280991737,2.5162707178921014e-16,4.8312397783528346e-14,38
rfd3_safeprotein,rfd3,block12,identity,143,0.21333333333333335,8.137700163551832e-16,1.2431317097678224e-13,7
rfd3_safeprotein,rfd3,block12,identity,445,0.7858953168044077,9.711966482561112e-16,1.2431317097678224e-13,239
rfd3_safeprotein,rfd3,block12,identity,649,0.7818181818181819,2.4544687588407043e-15,2.6929028668423727e-13,94
rfd3_safeprotein,rfd3,block12,identity,380,0.2228099173553719,6.921757580351327e-15,6.644887277137274e-13,272
rfd3_safeprotein,rfd3,block12,identity,760,0.7758677685950414,9.279718581555428e-15,7.918693189593965e-13,240
rfd3_safeprotein,rfd3,block12,identity,61,0.22606060606060607,1.4195379423255668e-14,1.0902051397060352e-12,31
rfd3_safeprotein,rfd3,block12,identity,641,0.7718457300275482,2.244725232243821e-14,1.5672263439665948e-12,256
rfd3_safeprotein,rfd3,block12,identity,65,0.7684297520661157,4.7065260353309005e-14,3.0121766626117763e-12,23
rfd3_safeprotein,rfd3,block12,identity,538,0.23696969696969697,1.4890470583991955e-13,8.796831852696786e-12,245
rfd3_safeprotein,rfd3,block12,identity,767,0.24066115702479338,3.230228042515326e-13,1.7720108118941217e-11,55
rfd3_safeprotein,rfd3,block12,identity,129,0.24352617079889807,5.849203500024602e-13,2.9947921920125966e-11,110
rfd3_safeprotein,rfd3,block12,identity,116,0.7543801652892562,8.990565995674327e-13,4.315471677923677e-11,271
rfd3_safeprotein,rfd3,block12,identity,138,0.2519559228650138,3.234307786870172e-12,1.4611461060684072e-10,2
rfd3_safeprotein,rfd3,block12,identity,516,0.7450137741046832,5.9008739734800475e-12,2.51770622868482e-10,88
rfd3_safeprotein,rfd3,block12,identity,86,0.7436914600550965,7.654198455608885e-12,3.09390758626717e-10,168
rfd3_safeprotein,rfd3,block12,identity,667,0.2581267217630854,1.0921678492148423e-11,4.1939245409849945e-10,5
rfd3_safeprotein,rfd3,block12,sae_encode,123,0.7170247933884297,1.0857676979725284e-09,1.1943444677697812e-07,260
rfd3_safeprotein,rfd3,block12,sae_encode,157,0.396198347107438,3.4268720128238783e-07,1.7618878587200015e-05,34
rfd3_safeprotein,rfd3,block12,sae_encode,51,0.4177410468319559,1.4991933312558103e-06,4.1227816609534784e-05,23
rfd3_safeprotein,rfd3,block12,sae_encode,535,0.4243526170798898,2.3785887606209144e-06,5.232895273366012e-05,20
rfd3_safeprotein,rfd3,block12,sae_encode,184,0.42482093663911846,1.097065796784591e-05,0.00015084654705788125,23
rfd3_safeprotein,rfd3,block12,sae_encode,62,0.5744077134986226,5.19020322826691e-05,0.0004757686292578,27
rfd3_safeprotein,rfd3,block12,sae_encode,325,0.4255922865013774,1.3492048310581595e-05,0.00016490281268488616,23
rfd3_safeprotein,rfd3,block12,sae_encode,63,0.42727272727272725,4.805148705600004e-07,1.7618878587200015e-05,16
rfd3_safeprotein,rfd3,block12,sae_encode,302,0.4286776859504132,5.2264781515987124e-06,9.581876611264306e-05,19
rfd3_safeprotein,rfd3,block12,sae_encode,120,0.4327823691460055,1.0693031981645618e-05,0.00015084654705788125,18
rfd3_safeprotein,rfd3,block12,sae_encode,83,0.4344077134986226,0.0626654252409935,0.1603069017792857,199
rfd3_safeprotein,rfd3,block12,sae_encode,349,0.43760330578512396,2.699381730053574e-05,0.0002699381730053574,17
rfd3_safeprotein,rfd3,block12,sae_encode,158,0.4384573002754821,0.01337265595793724,0.04941087095968185,55
rfd3_safeprotein,rfd3,block12,sae_encode,312,0.44545454545454544,1.512611925136298e-05,0.00016638731176499277,12
rfd3_safeprotein,rfd3,block12,sae_encode,272,0.4484848484848485,8.379328937735409e-05,0.0007090201408853038,13
rfd3_safeprotein,rfd3,block12,sae_encode,167,0.4527272727272727,0.00017708879022393376,0.001391411923188051,12
rfd3_safeprotein,rfd3,block12,sae_encode,105,0.45360881542699727,0.009009042754769325,0.036703507519430585,25
rfd3_safeprotein,rfd3,block12,sae_encode,486,0.4547107438016529,0.050469622015953064,0.13218234337511517,46
rfd3_safeprotein,rfd3,block12,sae_encode,144,0.455702479338843,0.021563153713941574,0.07187717904647192,30
rfd3_safeprotein,rfd3,block12,sae_encode,360,0.4584573002754821,0.013175083324313164,0.04941087095968185,22
rfd3_safeprotein,rfd3,block6,identity,351,0.3005509641873278,2.1184154874731576e-08,1.626943094379385e-05,16
rfd3_safeprotein,rfd3,block6,identity,502,0.6945454545454546,4.647553453196451e-08,1.7846605260274373e-05,254
rfd3_safeprotein,rfd3,block6,identity,707,0.3117906336088154,1.2481307010148157e-07,3.195214594597928e-05,274
rfd3_safeprotein,rfd3,block6,identity,293,0.31548209366391183,2.1880835276988364e-07,4.201120373181766e-05,80
rfd3_safeprotein,rfd3,block6,identity,4,0.31977961432506885,4.151399934926303e-07,6.376550300046802e-05,241
rfd3_safeprotein,rfd3,block6,identity,672,0.677961432506887,5.780090646112512e-07,7.398516027024016e-05,0
rfd3_safeprotein,rfd3,block6,identity,484,0.3245179063360882,8.274666924990015e-07,8.199230614991393e-05,57
rfd3_safeprotein,rfd3,block6,identity,762,0.3247382920110193,8.540865223949368e-07,8.199230614991393e-05,275
